Date,Region,Product,Customer Segment,Revenue
2024-01-01,North,SaaS,Enterprise,55795
2024-01-01,North,SaaS,SMB,40860
2024-01-01,North,SaaS,Startups,143694
2024-01-01,North,Consulting,Enterprise,116820
2024-01-01,North,Consulting,SMB,94886
2024-01-01,North,Consulting,Startups,46265
2024-01-01,North,Licensing,Enterprise,122386
2024-01-01,North,Licensing,SMB,77194
2024-01-01,North,Licensing,Startups,127498
2024-01-01,South,SaaS,Enterprise,84131
2024-01-01,South,SaaS,SMB,100263
2024-01-01,South,SaaS,Startups,56023
2024-01-01,South,Consulting,Enterprise,81090
2024-01-01,South,Consulting,SMB,107221
2024-01-01,South,Consulting,Startups,104820
2024-01-01,South,Licensing,Enterprise,40769
2024-01-01,South,Licensing,SMB,99735
2024-01-01,South,Licensing,Startups,102955
2024-01-01,East,SaaS,Enterprise,104925
2024-01-01,East,SaaS,SMB,107969
2024-01-01,East,SaaS,Startups,45311
2024-01-01,East,Consulting,Enterprise,143355
2024-01-01,East,Consulting,SMB,144724
2024-01-01,East,Consulting,Startups,123104
2024-01-01,East,Licensing,Enterprise,93707
2024-01-01,East,Licensing,SMB,125305
2024-01-01,East,Licensing,Startups,68693
2024-01-01,West,SaaS,Enterprise,111932
2024-01-01,West,SaaS,SMB,133016
2024-01-01,West,SaaS,Startups,146970
2024-01-01,West,Consulting,Enterprise,65658
2024-01-01,West,Consulting,SMB,124478
2024-01-01,West,Consulting,Startups,58431
2024-01-01,West,Licensing,Enterprise,42747
2024-01-01,West,Licensing,SMB,99150
2024-01-01,West,Licensing,Startups,105725
2024-02-01,North,SaaS,Enterprise,124654
2024-02-01,North,SaaS,SMB,75773
2024-02-01,North,SaaS,Startups,107435
2024-02-01,North,Consulting,Enterprise,96886
2024-02-01,North,Consulting,SMB,106803
2024-02-01,North,Consulting,Startups,71551
2024-02-01,North,Licensing,Enterprise,51394
2024-02-01,North,Licensing,SMB,109092
2024-02-01,North,Licensing,Startups,43890
2024-02-01,South,SaaS,Enterprise,81606
2024-02-01,South,SaaS,SMB,136276
2024-02-01,South,SaaS,Startups,120038
2024-02-01,South,Consulting,Enterprise,127313
2024-02-01,South,Consulting,SMB,50627
2024-02-01,South,Consulting,Startups,48792
2024-02-01,South,Licensing,Enterprise,148859
2024-02-01,South,Licensing,SMB,148557
2024-02-01,South,Licensing,Startups,113969
2024-02-01,East,SaaS,Enterprise,83001
2024-02-01,East,SaaS,SMB,116552
2024-02-01,East,SaaS,Startups,63897
2024-02-01,East,Consulting,Enterprise,108148
2024-02-01,East,Consulting,SMB,63483
2024-02-01,East,Consulting,Startups,88555
2024-02-01,East,Licensing,Enterprise,57159
2024-02-01,East,Licensing,SMB,146530
2024-02-01,East,Licensing,Startups,120077
2024-02-01,West,SaaS,Enterprise,75920
2024-02-01,West,SaaS,SMB,132067
2024-02-01,West,SaaS,Startups,107121
2024-02-01,West,Consulting,Enterprise,109479
2024-02-01,West,Consulting,SMB,129475
2024-02-01,West,Consulting,Startups,59457
