Date,Region,Product,Forecasted Revenue
2024-01-01,North,SaaS,57993
2024-01-01,North,SaaS,42514
2024-01-01,North,SaaS,139655
2024-01-01,North,Consulting,111997
2024-01-01,North,Consulting,100756
2024-01-01,North,Consulting,49134
2024-01-01,North,Licensing,131370
2024-01-01,North,Licensing,83573
2024-01-01,North,Licensing,127787
2024-01-01,South,SaaS,84156
2024-01-01,South,SaaS,106244
2024-01-01,South,SaaS,57703
2024-01-01,South,Consulting,84365
2024-01-01,South,Consulting,113564
2024-01-01,South,Consulting,112996
2024-01-01,South,Licensing,39448
2024-01-01,South,Licensing,97253
2024-01-01,South,Licensing,94594
2024-01-01,East,SaaS,106567
2024-01-01,East,SaaS,97948
2024-01-01,East,SaaS,44999
2024-01-01,East,Consulting,144577
2024-01-01,East,Consulting,138545
2024-01-01,East,Consulting,125340
2024-01-01,East,Licensing,84907
2024-01-01,East,Licensing,113710
2024-01-01,East,Licensing,73125
2024-01-01,West,SaaS,108802
2024-01-01,West,SaaS,123094
2024-01-01,West,SaaS,147623
2024-01-01,West,Consulting,69203
2024-01-01,West,Consulting,117403
2024-01-01,West,Consulting,59867
2024-01-01,West,Licensing,39201
2024-01-01,West,Licensing,90259
2024-01-01,West,Licensing,106387
2024-02-01,North,SaaS,125667
2024-02-01,North,SaaS,77855
2024-02-01,North,SaaS,112293
2024-02-01,North,Consulting,106106
2024-02-01,North,Consulting,107151
2024-02-01,North,Consulting,69017
2024-02-01,North,Licensing,54428
2024-02-01,North,Licensing,104091
2024-02-01,North,Licensing,43354
2024-02-01,South,SaaS,74725
2024-02-01,South,SaaS,123339
2024-02-01,South,SaaS,131145
2024-02-01,South,Consulting,135867
2024-02-01,South,Consulting,52611
2024-02-01,South,Consulting,47903
2024-02-01,South,Licensing,139132
2024-02-01,South,Licensing,138349
2024-02-01,South,Licensing,108276
2024-02-01,East,SaaS,83818
2024-02-01,East,SaaS,121554
2024-02-01,East,SaaS,65944
2024-02-01,East,Consulting,103388
2024-02-01,East,Consulting,69258
2024-02-01,East,Consulting,92768
2024-02-01,East,Licensing,57780
2024-02-01,East,Licensing,149804
2024-02-01,East,Licensing,118146
2024-02-01,West,SaaS,72089
2024-02-01,West,SaaS,128262
2024-02-01,West,SaaS,112645
2024-02-01,West,Consulting,98846
2024-02-01,West,Consulting,119533
2024-02-01,West,Consulting,54058
2024-02-01,West,Licensing,96769
2024-02-01,West,Licensing,125520
2024-02-01,West,Licensing,155182
2024-03-01,North,SaaS,118338
2024-03-01,North,SaaS,85515
2024-03-01,North,SaaS,80621
2024-03-01,North,Consulting,49428
2024-03-01,North,Consulting,80152
2024-03-01,North,Consulting,110921
2024-03-01,North,Licensing,108953
